"","a1","a2","a3","a4","a5","a6","s1","s2","s3","s4","s5","s6","c1","c2","c3","c4","c5","c6","scas1","scas2","scas3","scas4","scas5","scas6","swls"
"a1",1,0.538293240632963,0.591903976251785,0.432494785074493,0.325166122892028,0.609432314660806,0.254891851711754,0.302110620497388,0.308484480691511,0.319703120460504,0.253139245372675,0.297238125459662,0.265290338315667,0.25878927234576,0.176098224975772,0.25684412371477,0.25490980023493,0.238451502240536,0.286167086506432,0.27992404345448,0.196313765945491,0.125672629845635,0.362999915988505,0.272679860792148,-0.432194938482728
"a2",0,0.842757608739822,0.190822411060655,0.306801875325766,0.223484254843962,0.0949943222261741,0.0959497738191719,0.154849384220209,0.053395506098625,0.151989278694739,0.177983074118934,0.0999258336349323,0.189893871949248,0.0790179003852139,0.123028640477404,0.116610857468482,0.148183928521989,0.089822462955991,0.147343312733089,0.173634468437137,0.101623531439227,0.130424993112963,0.0940190552987042,0.0520475308748455,-0.1640482571602
"a3",0,0,0.783094177180705,0.181902829020093,0.126679386371718,0.305142992554879,0.138604261834818,0.05392105568286,0.0945041331844404,0.0723062626244062,0.05726201974933,0.109276896478318,0.0645360119980773,0.18699064001767,0.050729487989739,0.0872374404129338,0.0689482499261228,0.106593221462337,0.0846016452314765,-0.00948210646744033,0.177660918832181,0.0841423981161035,0.0237416922151552,0.0573468607119877,-0.112485691177803
"a4",0,0,0,0.828089506620177,0.363670816091454,0.183968690892125,0.0215468086016685,0.17809380639864,0.0213526553835413,0.138932310594653,0.183354248567362,0.0582499123343958,0.0700997171942895,-0.028576371019622,0.00788059136704451,-0.00820288265386533,-0.00619311813830892,0.0584145530605962,0.080522774889914,0.0820640378141756,0.00132941379144964,0.105470320778289,0.13736454548723,0.151505001339957,-0.122357211347766
"a5",0,0,0,0,0.834276723247189,0.113273940387047,0.063963058372937,0.0961832246968193,0.0244528893631578,0.0472662488115567,-0.00700571522726439,-0.02113378558321,0.107728441288555,-0.00226183637081104,0.0583005157179378,0.0569178605412097,0.0259381308729877,0.024757011483922,0.00541119529238112,0.103669065226558,-0.0256990609581197,0.0907313580945741,0.164251081584102,0.160936729590248,-0.0156940980339316
"a6",0,0,0,0,0,0.692661982418008,0.096399889629689,0.169443450172475,0.127404807446335,0.126074507957391,0.0686245528927946,0.107311661790019,0.20306711033037,0.176921192295466,0.1550827745796,0.195929359093569,0.117406668987794,0.123991635371037,0.201163424096249,0.151270992122358,0.0546772246921795,0.0828447039065999,0.16010290684562,0.154872177474625,-0.209268006472137
"s1",0,0,0,0,0,0,0.944861982999779,0.288774903625286,0.336502519339191,0.232158475870369,0.274328217542516,0.436703416725625,0.119929614105058,0.149101240851782,0.024220090264785,0.164805934357289,0.100202371064506,0.0951355233654552,0.194797813727485,0.148339988098373,0.0748301177053112,0.0434468416091702,0.125796961667597,0.109460034903232,-0.220328562225994
"s2",0,0,0,0,0,0,0,0.853681859115309,0.177015654765935,0.314661339047983,0.45213011388683,0.138414789616527,0.164920755146583,0.0849558780004215,0.238799574640413,0.159099603890585,0.126798736973476,0.152801785741174,0.138058453834877,0.211405359095817,0.0871732104756097,0.175886193056367,0.146487894075112,0.222646992835612,-0.104254557736471
"s3",0,0,0,0,0,0,0,0,0.855102836919402,0.242014536530413,0.103725012886344,0.273596795435256,0.0549685409851303,0.109072488587415,0.00223940440304676,0.0457444709873897,0.0894968779849004,0.0303198952379969,0.178322486992472,0.118574099254551,0.150945982798812,0.00746448604350514,0.0408730727759188,0.0267529239569428,-0.172339377787569
"s4",0,0,0,0,0,0,0,0,0,0.787749680706012,0.202319901871176,0.11925010516072,0.201021794983171,0.204933275100051,0.118177736675318,0.0697184160386502,0.188938037170772,0.216373142525783,0.0910304593100383,0.174409212641545,0.119522324748064,0.143022283371167,0.126744203630743,0.194924156499021,-0.180050618592257
"s5",0,0,0,0,0,0,0,0,0,0,0.728846065562176,0.0615278992112202,0.0709431058761973,0.059234397222056,0.0352953311671193,0.000418593114079695,0.0217198819834642,0.0688657816771378,0.0370981303862013,0.0432485177627224,0.0116172638500205,0.0214924411188805,0.0114767128791008,0.0247068458144466,-0.0851003296378051
"s6",0,0,0,0,0,0,0,0,0,0,0,0.756067059133267,-0.0613275239820419,-0.0313385156459223,-0.0518496926897287,0.0425918822751767,0.00203487929800213,-0.0234245895237625,0.0680118693703018,-0.0255366297751561,0.0692619146051797,-0.00500256813208591,0.017246237513831,-0.0534073799317436,-0.163385474168331
"c1",0,0,0,0,0,0,0,0,0,0,0,0,0.858972385117142,0.262670805931726,0.331969325591223,0.317068017744215,0.294135070037676,0.356377514195507,0.0735496777533318,0.146953398750792,0.178711489020005,0.0733995847677754,0.10113521163401,0.134664343261372,-0.0779595771935053
"c2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.838371067254444,0.0798757613582446,0.225797383030104,0.332619486533877,0.206836908021228,0.083016150008732,0.110761794557856,0.134930311843125,0.0705281330592859,0.0278225481262575,0.0489251282588657,-0.0906286119582605
"c3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.855375592115802,0.0607195763435139,0.103545243124897,0.127080092993449,0.0556497925813221,0.0202657162191887,-0.00204692339065319,-0.0169510743358317,0.0390810005213041,0.0596812034263708,-0.0385411932655805
"c4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809124711247581,0.248978783545611,0.0902666889886016,0.0901418172840127,0.105080406152312,0.21482776787322,0.127994744699955,0.0228809233185687,-0.0311328005416682,-0.0725644212048508
"c5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74407551527175,0.244751586366868,0.0857590399871753,0.110539838279177,0.177597996090772,0.0509409912232235,0.0790796900430668,0.0986062855717594,-0.0890369694231896
"c6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751596566704592,0.0715570788071792,0.0750646856510226,0.0461801620117128,0.0699003372675498,0.0683302292263085,0.0862849165814615,-0.0110788683043896
"scas1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838551495793371,0.169128421520169,0.297183377086469,0.0768622220120213,0.27354142341883,0.124394495549089,-0.257953280229145
"scas2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80347173002181,-0.0133750068683708,0.094753919249824,0.0962509781878562,0.185338521975499,-0.162469165495875
"scas3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801403479766012,0.182946978083609,0.0604520354279588,-0.00494698669615373,-0.0805627168111529
"scas4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892864086177364,-0.0808880540231614,-0.0197440264530079,-0.0634984540196274
"scas5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783350250346444,0.402350682657482,-0.0667076502700377
"scas6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699091500797896,-0.0182905814885695
"swls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649481917379626
